Turtle ID,Observation Date,Observation Time,Latitude,Longitude
ST2013-367,31-Dec-13,14:29,41.769227,-70.082184
ST2013-368,31-Dec-13,12:00,41.741199,-70.220253
ST2013-369,24-Dec-13,8:00,41.820073,-70.004107
ST2013-364,22-Dec-13,9:09,42.060755,-70.16443
ST2013-363,21-Dec-13,14:50,41.93011,-70.046741
ST2013-365,21-Dec-13,15:30,41.805934,-70.00513
ST2013-366,21-Dec-13,15:30,41.805756,-70.005385
ST2013-339,18-Dec-13,13:40,41.801525,-70.008685
ST2013-362,17-Dec-13,12:00,41.763731,-70.10435
ST2013-360,16-Dec-13,7:50,41.750497,-70.184633
ST2013-357,15-Dec-13,8:15,41.753833,-70.171479
ST2013-358,15-Dec-13,13:58,41.756535,-70.152294
ST2013-359,15-Dec-13,15:00,41.843464,-70.005799
ST2013-356,14-Dec-13,12:00,41.819408,-70.004302
ST2013-351,13-Dec-13,12:00,41.772067,-70.068966
ST2013-352,13-Dec-13,12:00,41.772293,-70.066437
ST2013-353,13-Dec-13,12:00,41.74165,-70.219208
ST2013-354,13-Dec-13,12:00,41.741533,-70.219582
ST2013-345,12-Dec-13,8:30,41.779657,-70.043882
ST2013-346,12-Dec-13,10:52,41.982369,-70.077446
ST2013-347,12-Dec-13,11:20,41.90437,-70.071692
ST2013-348,12-Dec-13,11:43,41.891928,-70.069603
ST2013-349,12-Dec-13,16:16,41.751129,-70.180599
ST2013-350,12-Dec-13,4:10,41.841126,-70.004998
ST2013-341,11-Dec-13,12:00,41.950935,-70.077007
ST2013-342,11-Dec-13,12:00,41.759829,-70.120291
ST2013-343,11-Dec-13,18:30,41.776209,-70.053705
ST2013-344,11-Dec-13,19:00,41.93911,-70.073802
ST2013-340,10-Dec-13,9:00,41.737605,-70.226732
ST2013-338,9-Dec-13,9:54,41.760028,-70.140686
ST2013-330,8-Dec-13,3:00,41.786535,-70.0286
ST2013-331,8-Dec-13,4:30,41.770085,-70.080214
ST2013-332,8-Dec-13,9:00,41.768216,-70.085877
ST2013-333,8-Dec-13,7:40,41.754249,-70.169202
ST2013-334,8-Dec-13,9:30,41.760511,-70.133935
ST2013-335,8-Dec-13,10:45,41.76243,-70.109042
ST2013-336,8-Dec-13,15:00,41.733,-70.232885
ST2013-337,8-Dec-13,15:00,41.932618,-70.073071
ST2013-329,7-Dec-13,14:30,41.768515,-70.088874
ST2013-328,6-Dec-13,8:00,42.058455,-70.173397
ST2013-323,5-Dec-13,14:00,41.738009,-70.370866
ST2013-326,5-Dec-13,9:00,41.763467,-70.105192
ST2013-327,5-Dec-13,10:00,41.905999,-69.997368
ST2013-320,4-Dec-13,7:50,41.751185,-70.179996
